,SRR1463325,SRR1463326,SRR1463334,SRR1463335
AT3G47760,0,0,0,0
AT3G47770,0,0,0,0
AT3G47780,44,32,301,156
AT3G47790,13,0,0,0
AT3G47800,1766,1387,6223,6364
AT3G47810,197,56,141,90
AT3G47820,20,1,20,34
AT3G47830,0,0,0,3
AT3G47833,9,15,51,27
AT3G47836,8,2,20,29
AT3G47840,11,3,0,0
AT3G47850,25,11,3,102
AT3G47860,44,43,0,0
AT3G47870,0,0,0,0
AT3G47890,76,111,11,92
AT3G47910,182,69,18,224
AT3G47920,0,0,0,0
AT3G47930,205,39,58,74
AT3G47940,36,12,7,15
AT3G47950,32,7,0,0
AT3G47960,2695,1355,416,143
AT3G47965,0,0,0,0
AT3G47980,0,0,0,0
AT3G47990,199,73,637,87
AT3G48000,1067,462,6008,3934
AT3G48010,0,0,0,0
AT3G48020,2,0,1,3
AT3G48030,58,67,103,21
AT3G48040,12,12,0,0
AT3G48050,383,244,735,518
AT3G48057,0,0,0,0
AT3G48060,163,79,395,228
AT3G48070,383,205,298,1259
AT3G48080,144,40,5,10
AT3G48090,581,128,36,63
AT3G48100,4,1,0,2
AT3G48110,339,341,101,33
AT3G48115,35,49,35,66
AT3G48120,18,13,79,31
AT3G48131,0,0,0,0
AT3G48140,681,370,1045,659
AT3G48150,264,40,1,34
AT3G48160,0,3,0,21
AT3G48170,111,38,73,59
AT3G48180,0,0,0,0
AT3G48185,0,0,0,0
AT3G48190,219,110,3,108
AT3G48195,262,222,27,235
AT3G48200,388,180,42,51
AT3G48201,0,2,0,0
AT3G48205,0,0,0,0
AT3G48208,0,0,0,0
AT3G48209,0,0,0,0
AT3G48210,22,0,2,10
AT3G48220,0,0,0,0
AT3G48230,0,0,0,0
AT3G48231,0,0,0,0
AT3G48237,0,0,0,0
AT3G48240,0,0,0,1
AT3G48250,0,0,0,1
AT3G48260,0,0,0,0
AT3G48270,0,0,0,0
AT3G48275,0,0,0,0
AT3G48280,0,6,0,2
AT3G48290,4,0,0,0
AT3G48298,0,0,0,0
AT3G48300,0,0,11,3
AT3G48310,61,14,9,0
AT3G48320,75,23,2,9
AT3G48330,292,98,282,103
AT3G48340,75,0,0,0
AT3G48344,0,0,0,0
AT3G48346,0,0,0,0
AT3G48350,4,0,0,18
AT3G48360,1693,1263,17,64
AT3G48380,335,126,138,361
AT3G48390,1,0,0,0
AT3G48400,0,0,0,0
AT3G48410,0,0,0,4
AT3G48420,262,201,58,0
AT3G48425,13,2,0,1
AT3G48430,55,50,283,188
AT3G48440,19,43,1,4
AT3G48450,5,3,22,5
AT3G48460,91,65,112,199
AT3G48470,28,13,13,19
AT3G48480,4,0,0,0
AT3G48490,0,4,0,0
AT3G48500,75,59,0,14
AT3G48510,6,5,0,0
AT3G48515,0,0,0,0
AT3G48520,1306,800,16839,12101
AT3G48530,402,139,163,439
AT3G48540,2,0,0,0
AT3G48550,0,0,0,0
AT3G48560,1469,3915,621,876
AT3G48570,27,14,14,3
AT3G48580,322,398,10256,3009
AT3G48590,30,10,37,1
AT3G48600,3,8,0,0
AT3G48610,61,51,15,0
AT3G48620,0,0,0,0
AT3G48630,0,0,0,0
AT3G48640,0,0,0,0
AT3G48660,20,11,2,12
AT3G48670,75,42,0,8
AT3G48675,0,0,0,0
AT3G48680,128,199,252,153
AT3G48690,1116,266,1372,1024
AT3G48700,28,14,0,0
AT3G48710,13,28,75,54
AT3G48720,6,20,0,0
AT3G48730,339,234,1,3
AT3G48740,8,7,27,1
AT3G48745,0,0,0,0
AT3G48750,49,27,0,20
AT3G48760,273,181,496,310
AT3G48770,0,0,0,0
AT3G48780,235,160,326,467
AT3G48790,5,11,0,0
AT3G48800,16,1,2,34
AT3G48810,20,1,13,16
AT3G48820,9,24,1,1
AT3G48830,1,3,0,12
AT3G48840,0,0,87,2
AT3G48850,60,32,838,233
AT3G48860,70,24,28,98
AT3G48870,514,336,225,247
AT3G48880,136,115,993,137
AT3G48890,238,29,233,126
AT3G48900,23,2,0,3
AT3G48920,0,0,0,0
AT3G48930,489,203,121,87
AT3G48940,0,0,0,0
AT3G48950,0,0,0,0
AT3G48960,0,0,0,0
AT3G48970,0,0,0,0
AT3G48980,89,12,4,24
AT3G48990,4007,3015,15251,10810
AT3G49000,17,23,3,71
AT3G49010,611,612,2,70
AT3G49020,0,0,0,0
AT3G49030,0,0,0,0
AT3G49040,0,0,0,0
AT3G49050,17,5,118,3
AT3G49051,0,0,0,0
AT3G49055,31,8,0,0
AT3G49060,64,5,32,33
AT3G49070,0,0,0,0
AT3G49080,27,33,15,75
AT3G49100,11,0,0,0
AT3G49110,58,15,1,0
AT3G49115,0,0,0,0
AT3G49120,363,147,1233,237
AT3G49130,38,10,0,4
AT3G49140,584,446,34,33
AT3G49142,1,0,0,13
AT3G49150,2,0,0,0
AT3G49160,169,39,50,57
AT3G49170,4,7,96,0
AT3G49180,12,8,13,1
AT3G49190,2,0,2,0
AT3G49200,4,0,0,0
AT3G49210,20,8,0,17
AT3G49220,84,58,0,1
AT3G49230,0,0,0,0
AT3G49240,54,23,50,110
AT3G49250,8,4,0,0
AT3G49260,90,67,161,275
AT3G49270,0,0,0,0
AT3G49290,79,86,0,11
AT3G49300,0,0,0,0
AT3G49305,0,0,0,0
AT3G49307,0,0,0,0
AT3G49310,122,172,8,6
AT3G49320,7,0,0,2
AT3G49330,0,0,0,0
AT3G49340,0,0,0,0
AT3G49350,75,25,54,31
AT3G49360,9,10,0,0
AT3G49370,7,31,25,8
AT3G49380,0,0,0,0
AT3G49390,38,10,32,41
AT3G49400,63,26,0,14
AT3G49410,16,0,0,0
AT3G49420,2,1,0,10
AT3G49430,313,235,75,68
AT3G49440,0,0,0,0
AT3G49450,0,0,0,0
AT3G49460,0,0,0,0
AT3G49470,151,32,0,1
AT3G49480,0,0,0,0
AT3G49490,140,59,77,377
AT3G49500,24,15,0,29
AT3G49510,0,0,0,0
AT3G49520,30,33,0,0
AT3G49530,1013,535,336,544
AT3G49540,32,7,74,1
AT3G49550,76,31,57,110
AT3G49551,8,10,1,4
AT3G49560,92,41,70,58
AT3G49570,54,35,66,182
AT3G49580,11,3,181,222
AT3G49590,934,267,914,824
AT3G49600,113,9,56,36
AT3G49601,515,369,323,1073
AT3G49610,0,0,0,0
AT3G49620,33,35,0,0
AT3G49630,0,0,0,0
AT3G49640,32,10,9,71
AT3G49645,13,10,70,10
AT3G49650,30,45,1,15
AT3G49660,0,0,13,32
AT3G49668,3,4,0,10
AT3G49670,11,61,0,35
AT3G49680,532,292,90,313
AT3G49690,22,0,0,10
AT3G49700,0,0,0,0
AT3G49710,298,479,0,12
AT3G49720,4272,3096,309,194
AT3G49725,13,3,0,7
AT3G49730,8,4,0,1
AT3G49740,1,0,0,9
AT3G49744,0,0,0,0
AT3G49750,0,0,0,1
AT3G49760,0,0,0,0
AT3G49770,0,0,0,0
AT3G49780,145,259,4598,1130
AT3G49790,62,59,549,124
AT3G49796,0,0,0,0
AT3G49800,194,60,96,274
AT3G49810,117,28,379,547
AT3G49820,0,0,10,0
AT3G49830,1,0,0,0
AT3G49840,10,20,5,0
AT3G49845,0,0,131,1
AT3G49850,11,18,39,47
AT3G49860,30,7,0,0
AT3G49870,92,73,1,148
AT3G49880,23,4,243,52
AT3G49890,26,1,0,2
AT3G49900,39,16,90,67
AT3G49910,247,117,61,75
AT3G49920,1,0,0,0
AT3G49925,0,0,0,0
AT3G49930,0,0,0,0
AT3G49940,33,0,0,1
AT3G49950,0,0,0,0
AT3G49960,0,0,0,0
AT3G49970,0,0,0,0
AT3G49980,0,0,0,0
AT3G49990,26,25,47,25
AT3G50000,322,199,57,161
AT3G50010,5,0,0,0
AT3G50020,0,0,0,0
AT3G50022,0,0,0,0
AT3G50030,0,6,0,0
AT3G50040,46,0,0,0
AT3G50050,685,396,0,4
AT3G50060,360,254,7,24
AT3G50070,22,20,0,0
AT3G50080,82,45,0,43
AT3G50090,0,0,0,0
AT3G50100,8,2,0,0
AT3G50110,10,34,131,6
AT3G50120,0,0,0,0
AT3G50123,0,0,0,0
AT3G50130,0,0,0,0
AT3G50140,0,0,0,0
AT3G50150,0,0,0,0
AT3G50160,0,0,0,0
AT3G50170,0,0,0,0
AT3G50180,0,0,0,0
AT3G50190,0,2,0,0
AT3G50200,0,0,0,0
AT3G50210,41,12,58,10
AT3G50220,0,0,0,0
AT3G50230,0,11,0,0
AT3G50240,366,197,0,9
AT3G50250,0,0,0,0
AT3G50260,67,27,0,0
AT3G50270,6,27,0,0
AT3G50280,0,2,0,0
AT3G50290,0,0,0,0
AT3G50300,0,0,0,0
AT3G50310,0,0,0,0
AT3G50320,0,0,0,0
AT3G50330,0,0,0,0
AT3G50337,0,0,0,0
AT3G50340,66,2,93,236
AT3G50350,0,3,25,5
AT3G50360,64,55,170,168
AT3G50370,712,551,1372,1552
AT3G50373,0,0,0,0
AT3G50380,727,787,747,126
AT3G50390,4,1,0,0
AT3G50400,9,0,0,0
AT3G50410,2,10,0,0
AT3G50420,46,51,0,0
AT3G50430,60,19,0,6
AT3G50440,9,3,0,2
AT3G50450,0,0,0,0
AT3G50460,0,0,0,0
AT3G50470,1,0,0,0
AT3G50480,80,35,0,0
AT3G50500,213,33,178,146
AT3G50505,0,0,0,0
AT3G50510,0,0,0,0
AT3G50520,24,18,45,20
AT3G50530,95,43,219,237
AT3G50540,0,0,0,0
AT3G50550,18,4,18,6
AT3G50560,1,6,0,6
AT3G50570,0,1,0,0
AT3G50580,0,0,0,0
AT3G50590,382,212,160,459
AT3G50610,0,0,0,0
AT3G50620,23,11,0,150
AT3G50630,0,0,3,0
AT3G50640,0,0,0,0
AT3G50650,15,11,1,14
AT3G50651,0,0,0,0
AT3G50660,15,4,0,0
AT3G50665,0,0,0,0
AT3G50670,258,349,3323,297
AT3G50674,0,0,0,0
AT3G50682,0,0,0,0
AT3G50685,42,49,0,11
AT3G50690,647,178,319,389
AT3G50695,0,0,0,0
AT3G50700,2,4,0,0
AT3G50710,0,0,0,0
AT3G50720,0,0,0,0
AT3G50730,0,0,0,0
AT3G50740,6,32,0,8
AT3G50750,0,10,0,1
AT3G50751,0,0,0,0
AT3G50760,27,12,0,0
AT3G50764,0,0,0,0
AT3G50770,1,0,0,0
AT3G50780,22,43,2,8
AT3G50790,172,253,40,2
AT3G50800,81,43,0,26
AT3G50808,0,0,0,0
AT3G50810,2,6,3,3
AT3G50820,1135,517,1,8
AT3G50825,0,0,0,0
AT3G50830,100,116,149,64
AT3G50835,0,0,0,0
AT3G50840,0,0,0,0
AT3G50845,5,4,0,2
AT3G50850,13,0,0,0
AT3G50860,28,1,5,35
AT3G50870,0,1,0,0
AT3G50880,8,8,17,28
AT3G50890,18,5,0,0
AT3G50895,0,0,0,0
AT3G50900,97,45,1392,626
AT3G50910,883,418,4104,3812
AT3G50920,161,16,0,30
AT3G50925,0,0,0,0
AT3G50930,98,151,0,0
AT3G50940,0,0,0,0
AT3G50950,1692,997,4,28
AT3G50960,182,169,2,27
AT3G50970,125,27,9661,396
AT3G50980,0,0,0,0
AT3G50990,0,0,0,0
AT3G51000,151,105,646,240
AT3G51010,43,33,0,9
AT3G51020,0,0,0,0
AT3G51030,1,3,0,0
AT3G51040,22,21,12,15
AT3G51050,231,75,224,187
AT3G51057,0,0,0,0
AT3G51060,0,0,0,0
AT3G51070,8,17,0,0
AT3G51075,38,34,0,0
AT3G51080,27,10,0,0
AT3G51090,9,4,0,26
AT3G51100,11,15,9,95
AT3G51110,63,8,20,165
AT3G51120,106,74,152,195
AT3G51130,477,326,745,743
AT3G51135,0,0,0,0
AT3G51140,63,76,4,16
AT3G51150,59,35,58,119
AT3G51160,51,13,5,14
AT3G51171,0,0,0,0
AT3G51180,24,3,32,5
AT3G51190,1,0,0,0
AT3G51200,0,0,0,0
AT3G51210,0,0,0,0
AT3G51220,0,0,0,0
AT3G51230,1,0,0,0
AT3G51238,22,77,0,0
AT3G51240,11,43,0,0
AT3G51250,71,64,4,43
AT3G51260,32,85,336,76
AT3G51265,0,0,0,0
AT3G51270,64,37,8,27
AT3G51280,0,19,0,0
AT3G51290,34,6,0,0
AT3G51300,0,0,0,0
AT3G51310,100,76,404,122
AT3G51320,3,8,0,13
AT3G51325,0,0,0,0
AT3G51330,0,5,0,0
AT3G51340,17,0,0,0
AT3G51350,4,2,0,0
AT3G51360,0,0,0,0
AT3G51370,286,152,175,308
AT3G51375,0,0,0,0
AT3G51380,0,0,0,0
AT3G51390,2,6,6,9
AT3G51400,0,2,5,4
AT3G51410,0,0,0,0
AT3G51420,134,127,0,1
AT3G51430,59,8,137,154
AT3G51440,4,0,1,21
AT3G51450,199,100,3,18
AT3G51460,235,110,351,252
AT3G51470,33,4,0,2
AT3G51480,6,14,0,0
AT3G51490,71,2,0,6
AT3G51500,30,12,35,60
AT3G51510,50,89,6,1
AT3G51520,48,32,10,20
AT3G51530,12,3,318,32
AT3G51540,0,3,0,0
AT3G51550,728,332,1615,659
AT3G51560,0,0,0,0
AT3G51570,0,0,0,0
AT3G51580,114,64,97,224
AT3G51590,0,0,0,0
AT3G51600,269,181,266,289
AT3G51610,36,7,4,8
AT3G51620,123,72,290,593
AT3G51630,0,0,0,0
AT3G51632,0,0,0,0
AT3G51636,0,0,0,0
AT3G51640,43,7,95,50
AT3G51642,0,0,0,0
AT3G51644,0,0,0,0
AT3G51650,11,5,23,23
AT3G51660,1915,737,1147,618
AT3G51670,442,251,19,318
AT3G51680,0,0,0,0
AT3G51690,0,0,0,0
AT3G51700,0,0,0,0
AT3G51710,0,0,0,0
AT3G51720,11,3,1,0
AT3G51730,384,142,490,375
AT3G51740,41,22,0,0
AT3G51750,0,0,0,0
AT3G51760,5,2,0,61
AT3G51770,147,47,397,278
AT3G51780,19,30,5,30
AT3G51790,24,32,13,40
AT3G51800,222,257,3318,411
AT3G51810,1,1,0,0
AT3G51820,429,592,0,0
AT3G51830,109,40,31,7
AT3G51840,479,259,487,309
AT3G51850,347,169,3,142
AT3G51860,51,0,198,29
AT3G51870,193,134,10,58
AT3G51880,133,54,358,323
AT3G51890,332,179,1381,381
AT3G51895,128,40,1,0
AT3G51910,35,19,0,389
AT3G51915,0,0,0,0
AT3G51920,199,165,1228,337
AT3G51930,3,0,0,0
AT3G51940,7,25,11,61
AT3G51950,156,228,99,74
AT3G51960,2,0,0,0
AT3G51970,23,35,0,2
AT3G51980,26,11,1,4
AT3G51990,3,4,107,46
AT3G52000,0,0,0,0
AT3G52010,1,0,0,0
AT3G52020,0,0,0,0
AT3G52030,11,15,0,90
AT3G52040,7,17,7,109
AT3G52050,127,39,0,15
AT3G52060,151,121,88,566
AT3G52070,3,1,0,16
AT3G52072,6,0,0,20
AT3G52080,43,1,0,13
AT3G52090,128,52,535,220
AT3G52100,81,175,77,129
AT3G52105,61,41,40,85
AT3G52110,37,53,26,38
AT3G52115,8,4,0,0
AT3G52120,457,181,445,123
AT3G52130,31,3,0,3
AT3G52140,521,330,467,298
AT3G52150,230,193,0,3
AT3G52155,12,52,0,0
AT3G52160,26,6,0,0
AT3G52170,3,3,0,0
AT3G52180,79,23,225,7
AT3G52190,22,16,131,30
AT3G52200,200,154,99,210
AT3G52210,70,194,268,9
AT3G52220,379,1537,768,372
AT3G52230,182,85,55,51
AT3G52240,162,102,236,102
AT3G52250,611,454,421,490
AT3G52260,111,45,57,1
AT3G52270,0,0,0,0
AT3G52280,106,13,373,59
AT3G52285,0,0,0,0
AT3G52290,36,33,1,1
AT3G52300,1212,545,264,795
AT3G52302,0,0,0,0
AT3G52310,89,5,523,22
AT3G52320,0,0,0,0
AT3G52330,0,0,0,0
AT3G52340,136,41,78,46
AT3G52345,0,0,0,0
AT3G52350,1,0,0,0
AT3G52360,65,18,111,24
AT3G52370,0,12,0,0
AT3G52380,318,112,0,0
AT3G52390,122,18,0,0
AT3G52400,283,104,142,17
AT3G52420,4,3,1,10
AT3G52430,85,49,0,0
AT3G52440,0,0,0,0
AT3G52450,760,144,470,569
AT3G52460,0,0,0,0
AT3G52470,232,101,98,173
AT3G52480,1,0,0,4
AT3G52490,17,6,0,3
AT3G52500,59,45,596,260
AT3G52510,1,0,1,1
AT3G52520,1,1,20,18
AT3G52525,0,1,39,44
AT3G52530,0,81,0,0
AT3G52535,1,5,0,3
AT3G52540,0,0,0,0
AT3G52550,0,0,0,0
AT3G52560,38,62,651,69
AT3G52561,0,0,0,0
AT3G52565,0,0,0,0
AT3G52570,17,30,347,152
AT3G52580,30,38,46,37
AT3G52590,584,347,21,38
AT3G52600,0,0,0,1
AT3G52605,37,21,2,2
AT3G52610,148,57,3,47
AT3G52620,0,0,0,0
AT3G52630,0,0,0,0
AT3G52640,115,109,215,73
AT3G52660,97,12,7,15
AT3G52670,3,0,0,0
AT3G52680,8,29,0,5
AT3G52690,0,0,0,0
AT3G52700,51,6,27,115
AT3G52710,61,5,25,188
AT3G52720,28,0,0,0
AT3G52730,62,37,232,119
AT3G52740,10,19,0,0
AT3G52742,0,0,0,0
AT3G52748,6,0,90,0
AT3G52750,75,64,0,48
AT3G52760,19,0,5,7
AT3G52765,0,0,0,0
AT3G52770,89,36,733,592
AT3G52780,0,0,0,0
AT3G52790,0,0,0,0
AT3G52800,290,112,411,243
AT3G52810,0,0,0,0
AT3G52820,0,0,0,0
AT3G52830,0,0,0,0
AT3G52840,180,57,0,11
AT3G52850,364,518,1365,1353
AT3G52860,10,8,55,16
AT3G52870,222,210,124,88
AT3G52880,942,578,1115,1324
AT3G52890,143,118,81,192
AT3G52900,1,8,0,0
AT3G52905,2,0,13,0
AT3G52910,0,3,0,0
AT3G52920,10,12,1,8
AT3G52930,720,687,24917,5046
AT3G52940,7,0,7,0
AT3G52941,0,0,0,0
AT3G52950,68,14,4,68
AT3G52955,0,0,0,0
AT3G52960,250,143,6,11
AT3G52970,0,0,0,0
AT3G52980,0,0,0,0
AT3G52990,230,167,307,107
AT3G53000,55,58,111,90
AT3G53010,0,0,0,9
AT3G53015,0,0,0,0
AT3G53016,0,0,0,0
AT3G53020,329,168,6,89
AT3G53030,28,13,15,73
AT3G53040,0,4,0,0
AT3G53050,0,0,0,0
AT3G53060,0,0,0,0
AT3G53065,0,0,0,0
AT3G53070,0,0,0,0
AT3G53075,0,0,0,0
AT3G53080,0,0,0,0
AT3G53090,80,29,235,109
AT3G53100,16,7,380,2
AT3G53110,328,315,1395,504
AT3G53120,118,33,153,48
AT3G53130,161,139,7,77
AT3G53140,0,0,0,0
AT3G53150,157,82,20462,1422
AT3G53160,165,25,584,200
AT3G53170,23,13,178,24
AT3G53180,4251,1245,6810,2000
AT3G53190,18,11,0,0
AT3G53200,0,0,0,0
AT3G53210,7,0,0,0
AT3G53220,0,0,0,0
AT3G53230,273,132,669,2494
AT3G53232,11,6,0,0
AT3G53235,0,0,0,0
AT3G53240,32,23,43,15
AT3G53250,0,0,0,0
AT3G53260,542,478,185,88
AT3G53270,145,42,1,27
AT3G53280,289,2534,48,349
AT3G53290,7,0,0,0
AT3G53294,0,0,0,0
AT3G53300,0,0,0,0
AT3G53305,0,0,0,0
AT3G53310,6,4,0,0
AT3G53320,35,13,6,22
AT3G53330,1,0,0,0
AT3G53340,16,11,26,67
AT3G53342,0,0,0,0
AT3G53350,3,0,0,0
AT3G53360,6,19,0,0
AT3G53365,0,1,0,0
AT3G53370,21,11,0,0
AT3G53380,16,32,187,74
AT3G53390,177,37,68,163
AT3G53400,0,0,0,0
AT3G53402,0,0,0,0
AT3G53410,10,20,48,3
AT3G53420,1224,1188,65,25
AT3G53430,627,389,408,160
AT3G53440,4,9,3,12
AT3G53450,2,1,0,0
AT3G53460,2149,1743,84,37
AT3G53470,42,200,4,10
AT3G53480,45,40,1,9
AT3G53490,33,29,0,9
AT3G53500,350,148,239,124
AT3G53510,1,2,0,45
AT3G53520,58,38,8,110
AT3G53530,15,8,0,0
AT3G53540,112,577,219,84
AT3G53550,0,0,0,0
AT3G53560,32,29,13,24
AT3G53570,155,136,104,242
AT3G53580,143,179,1388,44
AT3G53590,0,0,0,0
AT3G53600,17,9,28,0
AT3G53610,20,12,0,22
AT3G53611,0,0,0,0
AT3G53620,72,56,7,8
AT3G53630,46,97,1,45
AT3G53640,9,3,5,4
AT3G53650,1,2,0,0
AT3G53668,0,0,0,0
AT3G53670,0,0,0,0
AT3G53680,11,16,3,36
AT3G53690,0,3,0,0
AT3G53700,30,44,0,47
AT3G53710,89,33,17,75
AT3G53720,10946,1891,129921,60456
AT3G53730,42,19,561,104
AT3G53740,144,94,88,38
AT3G53750,170,137,53,27
AT3G53760,10,94,0,0
AT3G53770,0,0,0,0
AT3G53775,0,0,0,0
AT3G53780,307,101,379,89
AT3G53790,0,0,0,0
AT3G53800,10,13,4,4
AT3G53810,159,1882,316,160
AT3G53820,4,0,0,0
AT3G53830,63,12,252,166
AT3G53840,0,0,0,0
AT3G53850,1,6,0,0
AT3G53860,5,1,0,0
AT3G53870,999,681,192,291
AT3G53880,1,2,0,0
AT3G53890,51,20,7,2
AT3G53900,15,15,24,0
AT3G53910,0,0,0,0
AT3G53920,141,127,0,7
AT3G53930,233,88,133,196
AT3G53940,16,79,17,15
AT3G53950,26,0,0,0
AT3G53960,35,14,0,0
AT3G53965,0,0,0,0
AT3G53970,12,31,500,75
AT3G53980,0,0,0,0
AT3G53990,49,90,56,78
AT3G54000,40,16,0,8
AT3G54010,35,15,151,95
AT3G54020,102,37,219,78
AT3G54030,55,11,0,13
AT3G54040,0,0,0,0
AT3G54050,963,769,20,2
AT3G54060,6,4,0,1
AT3G54070,0,0,0,0
AT3G54080,34,19,573,29
AT3G54085,65,17,894,7
AT3G54090,67,122,2,6
AT3G54100,172,30,46,157
AT3G54110,118,174,112,87
AT3G54120,22,31,48,4
AT3G54130,91,11,4,38
AT3G54140,586,182,1031,461
AT3G54150,34,12,76,3
AT3G54160,1,1,0,0
AT3G54170,56,56,29,37
AT3G54180,0,33,0,2
AT3G54190,278,92,442,207
AT3G54200,43,68,22,43
AT3G54210,581,310,9,16
AT3G54220,28,55,0,62
AT3G54230,280,161,130,163
AT3G54240,0,0,0,0
AT3G54250,1,1,0,0
AT3G54260,0,0,0,0
AT3G54270,4,6,365,26
AT3G54280,139,247,135,186
AT3G54290,11,5,11,145
AT3G54300,36,36,2,37
AT3G54310,0,0,0,0
AT3G54320,9,2,0,8
AT3G54340,0,0,0,0
AT3G54350,66,56,119,96
AT3G54360,295,285,86,187
AT3G54363,0,0,0,0
AT3G54366,30,36,0,0
AT3G54380,44,38,53,32
AT3G54390,0,0,0,3
AT3G54400,207,48,0,2
AT3G54410,0,0,0,0
AT3G54420,206,40,296,304
AT3G54430,11,0,13,0
AT3G54440,65,128,8,20
AT3G54450,9,5,0,0
AT3G54460,183,159,89,126
AT3G54470,32,111,0,0
AT3G54480,108,821,56,94
AT3G54490,90,97,69,5
AT3G54500,25302,23065,2288,3293
AT3G54510,3,3,32,110
AT3G54520,0,0,0,0
AT3G54530,0,0,0,0
AT3G54540,315,163,53,260
AT3G54550,3,0,0,4
AT3G54560,16,17,0,0
AT3G54570,0,0,0,0
AT3G54580,0,0,0,0
AT3G54590,0,0,0,0
AT3G54600,3,11,0,2
AT3G54610,15,5,21,26
AT3G54620,748,348,1296,1566
AT3G54625,4,7,0,1
AT3G54630,6,6,0,2
AT3G54640,48,66,450,498
AT3G54650,112,108,6,39
AT3G54660,793,725,119,790
AT3G54670,181,126,822,335
AT3G54680,32,12,23,129
AT3G54690,56,17,1,5
AT3G54700,0,0,0,0
AT3G54710,1,8,0,0
AT3G54720,27,82,3,35
AT3G54730,0,0,0,0
AT3G54740,42,55,2936,109
AT3G54750,9,21,188,7
AT3G54760,170,134,140,375
AT3G54770,1,0,0,0
AT3G54780,1,0,0,0
AT3G54790,19,13,0,0
AT3G54800,0,0,0,0
AT3G54802,0,0,0,0
AT3G54804,0,0,0,0
AT3G54810,183,59,14,34
AT3G54820,83,54,12,76
AT3G54826,34,19,19,75
AT3G54830,94,91,1,1
AT3G54840,236,140,254,152
AT3G54850,29,22,353,142
AT3G54860,63,31,14,19
AT3G54870,2,18,6,18
AT3G54880,76,10,1,1
AT3G54890,10723,19302,2437,379
AT3G54900,48,12,0,0
AT3G54910,18,490,0,0
AT3G54920,297,110,6,0
AT3G54925,0,0,0,0
AT3G54930,4,0,0,0
AT3G54940,0,0,0,0
AT3G54950,208,38,4,41
AT3G54960,68,25,53,9
AT3G54970,37,16,0,0
AT3G54980,14,19,22,16
AT3G54990,14,0,85,11
AT3G55000,83,84,22,19
AT3G55005,52,21,6,22
AT3G55010,14,16,0,0
AT3G55020,171,91,136,110
AT3G55030,131,82,70,2
AT3G55040,241,80,2,1
AT3G55050,746,380,180,210
AT3G55060,0,4,0,0
AT3G55070,67,20,376,71
AT3G55080,60,68,0,4
AT3G55090,8,36,0,89
AT3G55100,0,0,0,0
AT3G55110,87,25,692,300
AT3G55120,4,41,0,12
AT3G55130,647,289,11479,1626
AT3G55140,52,73,213,63
AT3G55150,0,0,0,0
AT3G55160,6,12,0,18
AT3G55170,62,58,0,4
AT3G55180,0,0,0,0
AT3G55190,0,0,0,0
AT3G55200,2,0,0,0
AT3G55210,0,0,0,0
AT3G55220,2,1,0,0
AT3G55230,0,0,0,0
AT3G55240,0,1,0,0
AT3G55250,152,90,7,59
AT3G55252,0,0,0,0
AT3G55254,0,0,0,0
AT3G55260,69,66,5,4
AT3G55270,176,67,441,204
AT3G55280,53,13,1,21
AT3G55290,1,2,0,12
AT3G55310,2,1,0,0
AT3G55320,93,40,220,133
AT3G55330,1936,1111,0,6
AT3G55340,19,10,1,13
AT3G55350,5,6,0,3
AT3G55360,57,34,505,61
AT3G55370,1,10,0,0
AT3G55380,122,36,197,58
AT3G55390,27,5,26,60
AT3G55400,179,67,68,39
AT3G55410,5054,1640,8675,3935
AT3G55420,0,0,0,0
AT3G55430,1631,1584,935,332
AT3G55440,3681,3355,1550,1094
AT3G55450,418,154,137,46
AT3G55460,161,151,210,25
AT3G55470,103,33,1366,278
AT3G55480,311,178,441,189
AT3G55485,0,0,0,0
AT3G55490,4,0,4,0
AT3G55500,12,0,55,68
AT3G55510,43,22,0,28
AT3G55512,0,0,0,0
AT3G55515,0,0,0,0
AT3G55520,136,49,419,30
AT3G55530,105,45,381,71
AT3G55540,0,0,0,0
AT3G55550,2,0,0,0
AT3G55560,237,117,1072,214
AT3G55566,0,0,0,0
AT3G55570,0,0,0,0
AT3G55573,0,0,0,0
AT3G55580,13,66,0,0
AT3G55590,0,0,0,0
AT3G55600,25,25,8,160
AT3G55605,42,7,0,1
AT3G55610,2215,603,438,195
AT3G55620,109,172,599,163
AT3G55630,104,103,17,1
AT3G55640,107,24,90,99
AT3G55646,28,14,135,146
AT3G55650,0,0,0,0
AT3G55660,1,0,1,1
AT3G55665,0,0,0,0
AT3G55670,0,0,0,0
AT3G55672,0,0,0,0
AT3G55677,0,0,0,0
AT3G55680,0,0,0,0
AT3G55690,0,0,0,0
AT3G55700,0,0,0,14
AT3G55710,28,9,0,13
AT3G55720,78,12,0,0
AT3G55730,134,61,151,236
AT3G55734,0,0,0,0
AT3G55735,0,0,0,0
AT3G55740,656,252,491,288
AT3G55750,22,30,24,2
AT3G55760,41,5,0,39
AT3G55770,694,569,231,103
AT3G55780,0,3,0,0
AT3G55790,0,0,0,0
AT3G55795,0,0,0,0
AT3G55800,5563,3466,0,6
AT3G55810,0,0,0,0
AT3G55820,1,0,0,0
AT3G55830,116,77,0,8
AT3G55840,358,128,165,218
AT3G55850,51,83,8,1
AT3G55860,0,0,0,9
AT3G55870,0,0,0,0
AT3G55880,70,8,362,720
AT3G55890,0,0,0,0
AT3G55900,2,0,0,3
AT3G55910,0,0,0,0
AT3G55920,31,0,0,10
