,SRR1463325,SRR1463326,SRR1463334,SRR1463335
AT1G03457,153,63,286,55
AT1G03470,69,35,0,33
AT1G03475,803,385,97,85
AT1G03490,0,0,0,0
AT1G03495,8,3,2,27
AT1G03502,0,0,0,0
AT1G03506,0,0,0,0
AT1G03510,5,2,0,0
AT1G03515,0,0,0,0
AT1G03520,10,26,179,24
AT1G03530,31,48,0,52
AT1G03540,13,15,372,28
AT1G03545,28,10,89,150
AT1G03550,40,9,438,187
AT1G03560,25,20,0,3
AT1G03570,0,0,0,0
AT1G03590,341,212,1452,1091
AT1G03600,301,207,1,135
AT1G03610,240,137,209,105
AT1G03620,0,1,0,0
AT1G03630,121,161,0,114
AT1G03640,0,0,0,0
AT1G03650,12,0,0,0
AT1G03660,0,0,0,0
AT1G03670,0,0,0,0
AT1G03680,580,307,1,199
AT1G03687,45,9,438,0
AT1G03700,0,0,0,0
AT1G03710,3,0,0,0
AT1G03720,0,0,0,0
AT1G03730,27,27,37,71
AT1G03740,1595,419,1385,2658
AT1G03743,0,0,0,0
AT1G03746,0,0,0,0
AT1G03750,70,9,20,27
AT1G03760,58,18,5,30
AT1G03770,71,30,468,192
AT1G03780,23,108,44,3
AT1G03790,2,0,0,10
AT1G03800,13,0,0,0
AT1G03810,0,0,0,0
AT1G03820,0,0,0,0
AT1G03830,4,7,0,13
AT1G03840,0,0,0,0
AT1G03850,50,30,29,49
AT1G03860,98,59,114,196
AT1G03870,7,2,0,3
AT1G03880,0,0,0,0
AT1G03890,0,0,0,0
AT1G03900,87,28,88,66
AT1G03905,22,15,2,1
AT1G03910,245,135,562,329
AT1G03920,21,33,3,0
AT1G03930,83,49,25,39
AT1G03935,0,0,0,0
AT1G03940,25,7,12,3
AT1G03950,15,8,2,16
AT1G03960,36,3,3,47
AT1G03970,22,72,9,76
AT1G03980,51,66,8,62
AT1G03982,9,0,0,0
AT1G03990,139,119,0,29
AT1G04000,64,31,0,3
AT1G04010,13,37,4,61
AT1G04020,10,8,0,0
AT1G04030,24,17,6,45
AT1G04040,14,3,0,28
AT1G04050,1,9,0,0
AT1G04070,9,1,400,2
AT1G04080,797,376,415,273
AT1G04090,30,129,1,5
AT1G04100,25,3,0,35
AT1G04110,45,3,3,1
AT1G04120,247,132,151,426
AT1G04130,67,28,1,178
AT1G04140,573,395,419,619
AT1G04150,0,0,0,0
AT1G04160,152,85,15,30
AT1G04170,331,263,1410,311
AT1G04171,0,0,0,0
AT1G04180,2,2,0,0
AT1G04190,3,8,78,9
AT1G04200,269,452,0,15
AT1G04210,2713,202,96,306
AT1G04220,20,3,1102,51
AT1G04230,14,10,2,5
AT1G04240,2,0,0,0
AT1G04250,11,3,0,0
AT1G04260,2,3,1,3
AT1G04270,183,115,29,88
AT1G04280,34,28,25,10
AT1G04290,71,15,0,9
AT1G04295,13,1,1,4
AT1G04300,1128,514,540,882
AT1G04310,2,3,0,24
AT1G04320,0,0,0,0
AT1G04330,1,0,0,0
AT1G04340,2,0,0,1
AT1G04350,125,173,0,5
AT1G04360,0,0,0,0
AT1G04370,0,0,0,0
AT1G04380,0,0,0,1
AT1G04390,35,12,11,113
AT1G04400,1134,461,236,137
AT1G04410,536,180,343,173
AT1G04420,481,165,74,11
AT1G04425,4,1,0,0
AT1G04430,179,189,49,34
AT1G04440,294,157,87,587
AT1G04445,2,0,0,0
AT1G04450,0,0,0,0
AT1G04470,1,0,0,0
AT1G04480,502,283,275,78
AT1G04490,0,0,0,1
AT1G04500,0,0,0,0
AT1G04501,0,0,0,0
AT1G04510,246,191,458,271
AT1G04520,2,13,0,0
